phenotype,tissue,gene,snp,eqtl_type,n_strains,AIC M1 (L->R->C),AIC M2 (L->C->R),"AIC M3 (L->R, L->C)",best_model,delta_AIC,permutation_p,permutation_q
881,liver,Psma2,rs4226061,trans,39,130.38026712831675,139.15158658993144,125.09962511338233,"M3 (L->R, L->C)",5.280642014934415,0.24775224775224775,0.8070069465418304
881,liver,Ankra2,rs13478831,trans,39,139.98154594006377,157.840463115949,140.5869652397204,M1 (L->R->C),0.6054192996566314,0.2597402597402597,0.8070069465418304
881,liver,AY036118,rs13478831,unknown,39,236.62772849123647,257.12030611780347,236.95684375599302,M1 (L->R->C),0.3291152647565525,0.2627372627372627,0.8070069465418304
1231,hypothalamus,Coa3,mCV22971719,cis,37,891.3002889566343,942.9297427385688,890.3189594622733,"M3 (L->R, L->C)",0.9813294943610344,0.26373626373626374,0.8070069465418304
1231,liver,Pan3,rs13478586,cis,38,950.693456291265,969.4578066148099,951.2728003413106,M1 (L->R->C),0.57934405004562,0.2707292707292707,0.8070069465418304
1231,hypothalamus,Nmbr,CEL-10_14286032,cis,39,990.6579701512263,1010.7423923083912,990.3617152541035,"M3 (L->R, L->C)",0.2962548971228216,0.2727272727272727,0.8070069465418304
1231,hypothalamus,Olfr1282,D11Mit99,trans,38,903.2661780991848,912.0920419468589,897.8479919808914,"M3 (L->R, L->C)",5.41818611829342,0.2867132867132867,0.8070069465418304
881,liver,Abhd10,rs13478891,trans,37,178.53560804892427,185.37118680341467,173.98293500247607,"M3 (L->R, L->C)",4.552673046448206,0.2897102897102897,0.8070069465418304
1231,liver,Eif2ak1,rs6284348,cis,38,928.9227663198124,943.3287216889051,929.4027054043946,M1 (L->R->C),0.47993908458226997,0.29270729270729273,0.8070069465418304
1231,liver,1810046J19Rik,rs6236574,cis,36,853.6980914551191,905.2895215871667,855.4220817778421,M1 (L->R->C),1.7239903227230116,0.31868131868131866,0.8070069465418304
1231,liver,Cd300lg,rs13481194,cis,38,964.676097611723,994.4231316938098,965.3800128596271,M1 (L->R->C),0.7039152479040922,0.3256743256743257,0.8070069465418304
1231,hypothalamus,Cdk8,mCV25009162,cis,39,914.0212876520436,930.3647459417956,913.300903656589,"M3 (L->R, L->C)",0.7203839954546538,0.32667332667332666,0.8070069465418304
881,liver,Anxa4,rs4226061,cis,39,159.1343574007298,215.70857341541546,159.40304035252205,M1 (L->R->C),0.26868295179224333,0.3306693306693307,0.8070069465418304
1231,hypothalamus,Ccdc67,rs13480525,trans,39,916.944795338592,930.1439645373606,914.2871510394992,"M3 (L->R, L->C)",2.6576442990927944,0.33166833166833165,0.8070069465418304
1231,liver,Zkscan1,rs13478566,trans,38,1016.6191876326069,1059.3665297323093,1017.8720351530882,M1 (L->R->C),1.2528475204812821,0.3336663336663337,0.8070069465418304
881,liver,Cml5,rs4226061,cis,39,291.46366942326216,304.31786754196753,286.4449576640844,"M3 (L->R, L->C)",5.018711759177734,0.35364635364635366,0.8358913813459268
1231,hypothalamus,Cpsf4,mCV25009162,cis,39,940.0102794130404,975.1052288343813,940.3437004889048,M1 (L->R->C),0.3334210758644076,0.3626373626373626,0.8380952380952381
881,hypothalamus,Vamp8,mhcCD8b4,cis,28,126.57722592414316,135.8222027871113,124.60140401583533,"M3 (L->R, L->C)",1.9758219083078359,0.3776223776223776,0.8394805194805194
881,liver,B230118H07Rik,rs4226061,trans,39,131.4260019778867,141.07632955059412,125.43003446733132,"M3 (L->R, L->C)",5.995967510555374,0.38161838161838163,0.8394805194805194
1231,liver,Zfp68,rs13478566,trans,38,934.0905272628451,950.0597614398064,934.8507108569542,M1 (L->R->C),0.760183594109094,0.3926073926073926,0.8394805194805194
1231,liver,Srd5a1,rs13478566,trans,38,981.1183429193579,998.4309758423605,981.7687536504536,M1 (L->R->C),0.6504107310956897,0.3986013986013986,0.8394805194805194
881,hypothalamus,Anxa4,CEL-6_86603542,cis,28,129.37303875375704,132.31484006926604,125.42787096872115,"M3 (L->R, L->C)",3.945167785035892,0.4035964035964036,0.8394805194805194
1231,liver,Tmem101,mCV22971719,cis,37,900.5139250459747,922.8390596374813,900.1790265090128,"M3 (L->R, L->C)",0.3348985369618731,0.42857142857142855,0.8519480519480519
1231,hypothalamus,Adgb,rs3664101,cis,39,976.3034366623305,1034.7997891830355,977.0476017597036,M1 (L->R->C),0.7441650973731839,0.43756243756243757,0.8519480519480519
881,hypothalamus,Thnsl2,mhcCD8b4,cis,28,96.48417732273008,112.62064260654371,94.95352938140479,"M3 (L->R, L->C)",1.5306479413252845,0.45254745254745254,0.8519480519480519
1231,liver,Hivep2,rs3712394,trans,38,973.8083182884931,994.0512279327573,969.5052154787815,"M3 (L->R, L->C)",4.303102809711618,0.45454545454545453,0.8519480519480519
881,liver,Pcyox1,rs13478871,cis,39,159.17522611001968,174.19563719544058,154.70336909589022,"M3 (L->R, L->C)",4.471857014129455,0.45554445554445555,0.8519480519480519
1231,liver,Phactr2,rs4228121,cis,38,959.6176007787883,983.705496911615,955.7899719548565,"M3 (L->R, L->C)",3.827628823931832,0.46553446553446554,0.8519480519480519
1231,liver,D9Ertd402e,rs13481170,trans,37,930.7234120588514,951.9588579333248,931.8027446150024,M1 (L->R->C),1.07933255615103,0.47652347652347654,0.8519480519480519
881,hypothalamus,Tgfa,rs13478871,cis,28,88.01447192970383,99.54524328708524,84.54607078293074,"M3 (L->R, L->C)",3.4684011467730897,0.4835164835164835,0.8519480519480519
881,liver,Flnb,rs3661039,trans,39,207.32532617090175,213.35708843411786,199.6129407692488,"M3 (L->R, L->C)",7.712385401652938,0.4915084915084915,0.8519480519480519
881,liver,Thnsl2,mhcCD8b4,cis,39,195.11566803745583,227.83637478892757,195.66404560665526,M1 (L->R->C),0.548377569199431,0.4915084915084915,0.8519480519480519
1231,hypothalamus,Ppil4,rs3721803,trans,39,955.3396008482129,984.9905407757673,952.273402460589,"M3 (L->R, L->C)",3.066198387623899,0.5094905094905094,0.8630079597821533
881,hypothalamus,Nup210,rs3661039,cis,28,90.57339686557674,100.19565714898702,85.27643029704404,"M3 (L->R, L->C)",5.296966568532696,0.5144855144855145,0.8630079597821533
1231,hypothalamus,Csnk2a1,rs3721803,trans,39,925.4136785980008,934.1472850491696,919.712366197024,"M3 (L->R, L->C)",5.7013124009768035,0.5334665334665335,0.8647352647352647
881,hypothalamus,Ggcx,rs13478831,trans,28,95.60494167886358,108.17467417559767,92.29632543062678,"M3 (L->R, L->C)",3.3086162482368024,0.5384615384615384,0.8647352647352647
881,liver,Aak1,rs3701169,trans,39,168.73999174473866,183.87383764590504,165.33546350394943,"M3 (L->R, L->C)",3.404528240789233,0.5404595404595405,0.8647352647352647
1231,liver,B230208H11Rik,rs4228121,cis,38,922.6530793965302,937.6041216417785,917.3952400725071,"M3 (L->R, L->C)",5.2578393240230525,0.5524475524475524,0.8705234159779613
1231,liver,Mrpl23,rs13478586,trans,38,896.4061535360241,913.0430931394271,895.4527984535815,"M3 (L->R, L->C)",0.9533550824426129,0.5684315684315684,0.8708938120702827
881,hypothalamus,Abcc9,rs3659436,trans,27,111.11351620257841,116.82378078793013,107.95476424086092,"M3 (L->R, L->C)",3.158751961717485,0.5694305694305695,0.8708938120702827
1231,liver,Rnf6,rs3696754,cis,38,928.0045468833866,946.2855125299258,927.5029330778717,"M3 (L->R, L->C)",0.5016138055149213,0.6053946053946054,0.8884448884448884
1231,liver,Cyp3a13,rs13478566,trans,38,1035.3825039275096,1080.0980551646437,1035.7555426385552,M1 (L->R->C),0.3730387110456377,0.6163836163836164,0.8884448884448884
1231,hypothalamus,Mmd2,rs13478566,cis,39,906.7598321080819,952.7773594610666,906.9385367490527,M1 (L->R->C),0.17870464097075,0.6273726273726273,0.8884448884448884
881,liver,Gcgr,rs3701169,trans,39,139.02215882696578,155.58206906807328,134.95003702763955,"M3 (L->R, L->C)",4.072121799326226,0.6293706293706294,0.8884448884448884
1231,hypothalamus,Mad1l1,rs13478566,trans,39,907.8768782338824,926.3331720486665,907.3090118113013,"M3 (L->R, L->C)",0.567866422581119,0.6433566433566433,0.8884448884448884
1231,liver,Cpsf4,mCV25009162,cis,38,919.3985141091442,1005.178069186604,919.8411927031863,M1 (L->R->C),0.4426785940420359,0.6463536463536463,0.8884448884448884
1231,liver,Slc25a40,rs3714258,trans,37,930.0938793620694,946.6473746814117,925.7100654614493,"M3 (L->R, L->C)",4.383813900620112,0.6503496503496503,0.8884448884448884
881,liver,Gga1,rs3661039,trans,39,154.30157514529358,160.43832805755403,145.13705386577666,"M3 (L->R, L->C)",9.164521279516919,0.6513486513486514,0.8884448884448884
881,hypothalamus,Chmp3,mhcCD8b4,cis,28,98.71671627021512,108.0717098079072,95.17351210594774,"M3 (L->R, L->C)",3.5432041642673795,0.6643356643356644,0.8884448884448884
1231,hypothalamus,Fam171a2,rs13481194,cis,38,898.6853785722236,909.48126714418,894.5133901584284,"M3 (L->R, L->C)",4.171988413795248,0.6663336663336663,0.8884448884448884
1231,liver,Med1,rs6236574,cis,36,882.0320646218132,967.1230721211892,882.844631557756,M1 (L->R->C),0.8125669359427548,0.7122877122877123,0.9376952161762288
1231,hypothalamus,Lsm12,rs13481194,cis,38,873.0198958551833,927.1700708964518,870.2933644061699,"M3 (L->R, L->C)",2.7265314490134642,0.7272727272727273,0.9454545454545455
881,hypothalamus,Chchd6,rs3701169,cis,28,82.28115821400968,103.16023039298135,79.43268400484257,"M3 (L->R, L->C)",2.848474209167108,0.7632367632367633,0.9601433049708912
1231,liver,Ccdc56,mCV22971719,cis,37,906.10540022191,926.467659841633,904.2017925966325,"M3 (L->R, L->C)",1.9036076252775729,0.7742257742257742,0.9601433049708912
1231,liver,Arfgef2,D11Mit99,trans,37,877.1464169975185,902.7109418082953,876.5343904006556,"M3 (L->R, L->C)",0.6120265968628473,0.7762237762237763,0.9601433049708912
881,hypothalamus,Mrpl35,mhcCD8b4,cis,28,116.90977496838306,170.32508886299198,115.9626585330775,"M3 (L->R, L->C)",0.9471164353055599,0.7822177822177823,0.9601433049708912
881,liver,Fads2,rs3701169,trans,39,189.98424648372668,210.43447994637384,185.51101086906408,"M3 (L->R, L->C)",4.473235614662599,0.8001998001998002,0.9601433049708912
881,hypothalamus,Nfu1,CEL-6_86603542,cis,28,102.00987737070298,129.85893269593305,98.46558796092415,"M3 (L->R, L->C)",3.544289409778827,0.8031968031968032,0.9601433049708912
881,hypothalamus,Tpra1,rs13478880,cis,28,86.79551977445412,94.1455303601185,80.23489068689302,"M3 (L->R, L->C)",6.560629087561097,0.8031968031968032,0.9601433049708912
881,hypothalamus,Vamp5,mhcCD8b4,cis,28,115.39070197219974,143.7312333785909,112.74187592188117,"M3 (L->R, L->C)",2.6488260503185614,0.8131868131868132,0.961038961038961
1231,liver,Dpysl3,D11Mit99,trans,37,925.1882025671088,942.276017930076,924.3036581344661,"M3 (L->R, L->C)",0.8845444326426559,0.8641358641358642,0.9910873440285204
1231,liver,Trim56,rs13478566,trans,38,979.5286107702841,1018.1435107393536,979.5057963200745,"M3 (L->R, L->C)",0.022814450209580173,0.8721278721278721,0.9910873440285204
1231,liver,Zfp383,rs6404215,trans,37,917.1542728036372,932.4673967630902,913.2492916188543,"M3 (L->R, L->C)",3.9049811847829687,0.8811188811188811,0.9910873440285204
1231,liver,Cyp3a25,mCV25009162,cis,38,980.2682687953069,1041.7089931424139,979.2911181159578,"M3 (L->R, L->C)",0.9771506793490516,0.8841158841158842,0.9910873440285204
1231,hypothalamus,Adat2,rs4228112,cis,39,957.1763802071481,1029.6209524822625,955.6868518983367,"M3 (L->R, L->C)",1.4895283088113729,0.8911088911088911,0.9910873440285204
1231,liver,Actb,rs13478566,cis,38,968.8911654291461,1013.0156386604305,968.8807099279992,"M3 (L->R, L->C)",0.010455501146907409,0.9120879120879121,0.9910873440285204
1231,hypothalamus,Kpna2,rs13481194,trans,38,966.7874102087573,985.7000003964733,961.5912706664093,"M3 (L->R, L->C)",5.196139542347964,0.9150849150849151,0.9910873440285204
1231,hypothalamus,Arhgap27,rs13481194,cis,38,922.2890218329496,937.237101471319,916.9661040714201,"M3 (L->R, L->C)",5.322917761529538,0.938061938061938,0.9910873440285204
1231,hypothalamus,Hebp2,CEL-10_14286032,cis,39,952.5060816683834,983.7986224688991,948.024786154374,"M3 (L->R, L->C)",4.481295514009389,0.942057942057942,0.9910873440285204
1231,liver,Ston2,D11Mit99,trans,37,890.1947496331323,906.3262525014849,889.2227150260495,"M3 (L->R, L->C)",0.9720346070828327,0.9630369630369631,0.9910873440285204
1231,hypothalamus,Parm1,rs4228121,trans,39,927.3923443512094,945.8143064605307,923.9196384670765,"M3 (L->R, L->C)",3.4727058841328926,0.967032967032967,0.9910873440285204
1231,hypothalamus,Gpr12,mCV25009162,cis,39,958.8630995525366,987.0823764464059,954.7155431458611,"M3 (L->R, L->C)",4.147556406675449,0.971028971028971,0.9910873440285204
1231,liver,Nhsl1,rs3712394,cis,38,973.5555388588147,1034.633208703112,967.7984088549648,"M3 (L->R, L->C)",5.757130003849852,0.972027972027972,0.9910873440285204
1231,hypothalamus,Gm8840,rs13478586,trans,39,1002.6866554381377,1047.0794415133348,1000.1609382750415,"M3 (L->R, L->C)",2.5257171630961466,0.972027972027972,0.9910873440285204
1231,hypothalamus,Gm8526,mCV25009162,trans,39,989.7958298535074,1008.8684776169459,985.3913518346214,"M3 (L->R, L->C)",4.404478018885925,0.991008991008991,1.0
1231,hypothalamus,Nptx2,mCV25009162,cis,39,965.1796974066791,990.0832847036145,960.7545623143715,"M3 (L->R, L->C)",4.425135092307642,1.0,1.0
